"id","days","age","addon","park","ctx","x","f1","f2","f3"
"theme-park_5_C_PHP_0_RF_AF_SOF_progenstr","5","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_5_C_P_0_RF_AF_SOF_progenstr","5","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_5_C_WPS_0_RF_AF_SOF_progenstr","5","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_6_A_0_0_RF_AF_SOF_progenstr","6","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_6_A_PHP_0_RF_AF_SOF_progenstr","6","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_6_A_P_0_RF_AF_SOF_progenstr","6","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_6_A_WPS_0_RF_AF_SOF_progenstr","6","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_6_C_0_0_RF_AF_SOF_progenstr","6","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_6_C_PHP_0_RF_AF_SOF_progenstr","6","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_6_C_P_0_RF_AF_SOF_progenstr","6","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_6_C_WPS_0_RF_AF_SOF_progenstr","6","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_7_A_0_0_RF_AF_SOF_progenstr","7","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_7_A_PHP_0_RF_AF_SOF_progenstr","7","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_7_A_P_0_RF_AF_SOF_progenstr","7","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_7_A_WPS_0_RF_AF_SOF_progenstr","7","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_7_C_0_0_RF_AF_SOF_progenstr","7","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_7_C_PHP_0_RF_AF_SOF_progenstr","7","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_7_C_P_0_RF_AF_SOF_progenstr","7","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_7_C_WPS_0_RF_AF_SOF_progenstr","7","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_8_A_0_0_RF_AF_SOF_progenstr","8","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_8_A_PHP_0_RF_AF_SOF_progenstr","8","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_8_A_P_0_RF_AF_SOF_progenstr","8","A","P","","progenstr","0","RF","AF","SOF"
